Purchase{id=1, person=Person{imie='Marsh', nazwisko='Polon', email='mpolon0@google.de', ip='155.43.28.214'}, car=Car{color='#255a97', vin='3D7TT2HT8BG370793', company='Chevrolet', model='Cobalt', model_year='2006', price=67487.58}, localization=Localization[country='Czech Republic', city='Bořetice'], date=2020-09-03}
Purchase{id=13, person=Person{imie='Nester', nazwisko='Caurah', email='ncaurahc@google.fr', ip='70.71.96.24'}, car=Car{color='#4e0fab', vin='2C3CDXHG5EH264592', company='Dodge', model='Charger', model_year='2009', price=75360.35}, localization=Localization[country='Germany', city='Berlin'], date=2020-04-03}
Purchase{id=14, person=Person{imie='Giulio', nazwisko='Ing', email='gingd@baidu.com', ip='107.44.207.136'}, car=Car{color='#db7c98', vin='WA1AGBFE4CD164891', company='Chevrolet', model='Suburban 2500', model_year='2003', price=88935.98}, localization=Localization[country='Poland', city='Żarki-Letnisko'], date=2020-03-27}
Purchase{id=15, person=Person{imie='Lela', nazwisko='Masson', email='lmassone@lycos.com', ip='62.176.227.100'}, car=Car{color='#805251', vin='5N1AT2ML7FC391968', company='Chevrolet', model='Express 1500', model_year='2007', price=19212.71}, localization=Localization[country='Poland', city='Wysoka'], date=2020-05-09}
Purchase{id=16, person=Person{imie='Wolf', nazwisko='Couroy', email='wcouroyf@dot.gov', ip='204.180.151.24'}, car=Car{color='#87b060', vin='WBAAZ33415K216099', company='Toyota', model='T100 Xtra', model_year='1995', price=83465.10}, localization=Localization[country='Poland', city='Smolec'], date=2020-05-27}
Purchase{id=17, person=Person{imie='Gerty', nazwisko='Mouse', email='gmouseg@alexa.com', ip='23.47.231.189'}, car=Car{color='#7aef95', vin='3GYT4MEF1DG663367', company='Dodge', model='Ram Van 1500', model_year='1999', price=6048.17}, localization=Localization[country='Czech Republic', city='Zákupy'], date=2020-06-13}
Purchase{id=18, person=Person{imie='Kissee', nazwisko='Paull', email='kpaullh@blogs.com', ip='226.237.22.103'}, car=Car{color='#9da9d2', vin='WA1LFAFP9CA893316', company='Chrysler', model='300M', model_year='2003', price=63058.40}, localization=Localization[country='Poland', city='Niedzica'], date=2020-10-26}
Purchase{id=19, person=Person{imie='Johanna', nazwisko='Brighouse', email='jbrighousei@pbs.org', ip='181.197.212.60'}, car=Car{color='#d3d5f4', vin='WBA3B3G50DN192293', company='Honda', model='Fit', model_year='2010', price=94081.51}, localization=Localization[country='Czech Republic', city='Kněžpole'], date=2020-07-27}
Purchase{id=20, person=Person{imie='Rosalie', nazwisko='Scarlin', email='rscarlinj@slate.com', ip='231.170.1.216'}, car=Car{color='#b5096c', vin='WAUKH78E88A568848', company='Volkswagen', model='Passat', model_year='1994', price=63972.26}, localization=Localization[country='Czech Republic', city='Ústí nad Orlicí'], date=2020-08-22}
Purchase{id=21, person=Person{imie='Angy', nazwisko='Lorrie', email='alorriek@hc360.com', ip='185.136.110.75'}, car=Car{color='#3af52c', vin='3FAHP0DCXAR054903', company='Chevrolet', model='Equinox', model_year='2006', price=52849.21}, localization=Localization[country='Poland', city='Damnica'], date=2020-01-22}
Purchase{id=22, person=Person{imie='Freddie', nazwisko='Shutle', email='fshutlel@cnbc.com', ip='165.47.157.209'}, car=Car{color='#f6e9c0', vin='WAUXD68D62A671941', company='Isuzu', model='Rodeo', model_year='2002', price=61428.99}, localization=Localization[country='Czech Republic', city='Zábřeh'], date=2020-11-24}
Purchase{id=23, person=Person{imie='Standford', nazwisko='McBayne', email='smcbaynem@topsy.com', ip='219.138.159.166'}, car=Car{color='#5d3d15', vin='2D4RN7DG9BR523778', company='Toyota', model='4Runner', model_year='1997', price=44024.02}, localization=Localization[country='Czech Republic', city='Chyňava'], date=2020-10-20}
Purchase{id=24, person=Person{imie='Rowney', nazwisko='Selwyn', email='rselwynn@arizona.edu', ip='209.20.40.139'}, car=Car{color='#eb78a0', vin='TRUDD38J281626648', company='Chevrolet', model='Malibu', model_year='2002', price=9224.59}, localization=Localization[country='Poland', city='Wólka Pełkińska'], date=2020-11-01}
Purchase{id=25, person=Person{imie='Wallace', nazwisko='Oury', email='wouryo@woothemes.com', ip='90.88.188.67'}, car=Car{color='#66184f', vin='4T1BD1EB7FU026332', company='Acura', model='RDX', model_year='2008', price=64467.57}, localization=Localization[country='Denmark', city='Frederiksberg'], date=2020-11-30}
Purchase{id=26, person=Person{imie='Vitia', nazwisko='Wressell', email='vwressellp@joomla.org', ip='83.75.76.69'}, car=Car{color='#fc52a8', vin='5N1AA0NE0EN847693', company='BMW', model='Z4', model_year='2010', price=30372.27}, localization=Localization[country='Czech Republic', city='Břeclav'], date=2020-01-07}
Purchase{id=27, person=Person{imie='Carmen', nazwisko='Bowen', email='cbowenq@nationalgeographic.com', ip='63.239.51.206'}, car=Car{color='#3fb1cf', vin='WAUGL98E25A270887', company='Mercedes-Benz', model='E-Class', model_year='2005', price=59050.98}, localization=Localization[country='Germany', city='Kassel'], date=2020-03-14}
Purchase{id=28, person=Person{imie='Adi', nazwisko='Huggon', email='ahuggonr@dion.ne.jp', ip='127.124.60.202'}, car=Car{color='#81bbba', vin='2T2BK1BA9EC555360', company='Chevrolet', model='G-Series G10', model_year='1995', price=73435.81}, localization=Localization[country='Poland', city='Ryczów'], date=2020-11-20}
Purchase{id=29, person=Person{imie='Sacha', nazwisko='Lamport', email='slamports@psu.edu', ip='134.108.190.141'}, car=Car{color='#cc8cd1', vin='YV1952AS8D1054810', company='Pontiac', model='Solstice', model_year='2006', price=20647.67}, localization=Localization[country='Czech Republic', city='Vidče'], date=2020-05-14}
Purchase{id=30, person=Person{imie='Marinna', nazwisko='Donlon', email='mdonlont@spiegel.de', ip='126.108.161.74'}, car=Car{color='#27c7b7', vin='1C3CCBAG5EN933225', company='Honda', model='Pilot', model_year='2005', price=17843.07}, localization=Localization[country='Poland', city='Lipiany'], date=2020-07-10}
Purchase{id=31, person=Person{imie='Concettina', nazwisko='Westover', email='cwestoveru@goo.gl', ip='220.76.126.225'}, car=Car{color='#4b4a28', vin='2T1KE4EE9BC170615', company='Plymouth', model='Colt Vista', model_year='1992', price=53245.72}, localization=Localization[country='Czech Republic', city='Staré Město'], date=2020-08-03}
Purchase{id=32, person=Person{imie='Cello', nazwisko='Carroll', email='ccarrollv@spotify.com', ip='213.92.152.33'}, car=Car{color='#e24e3a', vin='JN8AZ1MU6CW935297', company='Mitsubishi', model='Truck', model_year='1987', price=67651.11}, localization=Localization[country='Poland', city='Oborniki Śląskie'], date=2020-05-18}
Purchase{id=33, person=Person{imie='Sheri', nazwisko='Dunham', email='sdunhamw@behance.net', ip='117.185.200.59'}, car=Car{color='#af1431', vin='1FTNX2A50AE167788', company='Ford', model='Mustang', model_year='2001', price=98060.01}, localization=Localization[country='Poland', city='Fajsławice'], date=2020-05-11}
Purchase{id=34, person=Person{imie='Nadiya', nazwisko='Margrett', email='nmargrettx@webmd.com', ip='165.240.10.21'}, car=Car{color='#cf7e18', vin='5GADV23L26D627001', company='Lamborghini', model='Countach', model_year='1986', price=62789.57}, localization=Localization[country='Poland', city='Brody'], date=2020-03-20}
Purchase{id=35, person=Person{imie='Noll', nazwisko='Mazzia', email='nmazziay@github.com', ip='186.76.124.140'}, car=Car{color='#704f70', vin='1G6KD57Y68U623880', company='Infiniti', model='Q', model_year='1993', price=22305.50}, localization=Localization[country='Czech Republic', city='Horní Suchá'], date=2020-12-07}
Purchase{id=36, person=Person{imie='Marion', nazwisko='Normand', email='mnormandz@aboutads.info', ip='204.52.31.30'}, car=Car{color='#9f41db', vin='WBA3B5C56EF695887', company='Volkswagen', model='New Beetle', model_year='2012', price=57040.11}, localization=Localization[country='Czech Republic', city='Lukavec'], date=2020-12-24}
Purchase{id=37, person=Person{imie='Burgess', nazwisko='Dupree', email='bdupree10@bloglovin.com', ip='148.40.58.50'}, car=Car{color='#6181ce', vin='JN1BV7APXFM483323', company='Hummer', model='H3', model_year='2006', price=13377.50}, localization=Localization[country='Czech Republic', city='Velké Opatovice'], date=2020-09-09}
Purchase{id=38, person=Person{imie='Dionisio', nazwisko='Cornfoot', email='dcornfoot11@ihg.com', ip='237.19.217.54'}, car=Car{color='#8c3079', vin='1GKS1EEF0ER954156', company='Land Rover', model='Range Rover', model_year='1994', price=67417.84}, localization=Localization[country='Czech Republic', city='Přimda'], date=2020-02-13}
Purchase{id=39, person=Person{imie='Delores', nazwisko='Wye', email='dwye12@fotki.com', ip='166.186.146.27'}, car=Car{color='#3bcc7f', vin='1YVHZ8BH3B5464829', company='Dodge', model='D150 Club', model_year='1992', price=45687.25}, localization=Localization[country='Poland', city='Skorogoszcz'], date=2020-03-17}
Purchase{id=40, person=Person{imie='Dori', nazwisko='Leroux', email='dleroux13@mysql.com', ip='227.62.73.141'}, car=Car{color='#035e85', vin='JTHDU1EF6A5223784', company='Mazda', model='Mazdaspeed 3', model_year='2007', price=43416.68}, localization=Localization[country='Poland', city='Jonkowo'], date=2020-11-14}
Purchase{id=41, person=Person{imie='Queenie', nazwisko='Vial', email='qvial14@multiply.com', ip='201.11.195.220'}, car=Car{color='#e8facb', vin='WAUCFAFH8BN695474', company='GMC', model='Suburban 1500', model_year='1993', price=31746.21}, localization=Localization[country='Slovakia', city='Bratislava'], date=2020-09-06}
Purchase{id=42, person=Person{imie='Torey', nazwisko='Baake', email='tbaake15@infoseek.co.jp', ip='236.205.233.29'}, car=Car{color='#e577f8', vin='3C3CFFFH5ET105840', company='Ford', model='Escape', model_year='2004', price=77271.23}, localization=Localization[country='Poland', city='Malbork'], date=2020-12-17}
Purchase{id=43, person=Person{imie='Juana', nazwisko='Longlands', email='jlonglands16@istockphoto.com', ip='250.100.0.186'}, car=Car{color='#5a4ec0', vin='2C3CCABG9EH016824', company='Chevrolet', model='Express 2500', model_year='1996', price=37242.60}, localization=Localization[country='Czech Republic', city='Žulová'], date=2020-01-15}
Purchase{id=44, person=Person{imie='Gannon', nazwisko='Skoof', email='gskoof17@boston.com', ip='94.194.136.51'}, car=Car{color='#2f379f', vin='WAUAH74F88N598533', company='Plymouth', model='Volare', model_year='1976', price=88917.51}, localization=Localization[country='Poland', city='Borkowice'], date=2020-01-20}
Purchase{id=45, person=Person{imie='Ilene', nazwisko='Langran', email='ilangran18@ft.com', ip='77.127.130.137'}, car=Car{color='#f1013b', vin='5GAER13718J360654', company='Pontiac', model='G6', model_year='2006', price=94006.99}, localization=Localization[country='Poland', city='Łękawica'], date=2020-08-23}
Purchase{id=46, person=Person{imie='Cynthy', nazwisko='Stanyon', email='cstanyon19@wikispaces.com', ip='252.53.116.11'}, car=Car{color='#9fc83c', vin='WAUEH98E58A933379', company='Eagle', model='Vision', model_year='1997', price=83032.48}, localization=Localization[country='Czech Republic', city='Červené Pečky'], date=2020-03-04}
Purchase{id=47, person=Person{imie='Jarrid', nazwisko='Andreotti', email='jandreotti1a@acquirethisname.com', ip='38.184.194.184'}, car=Car{color='#0ba4ce', vin='WAUDGAFL5DA732884', company='Mercedes-Benz', model='CLS-Class', model_year='2011', price=3183.57}, localization=Localization[country='Poland', city='Drawsko Pomorskie'], date=2020-01-09}
Purchase{id=48, person=Person{imie='Rachele', nazwisko='Romaines', email='rromaines1b@hexun.com', ip='135.36.70.67'}, car=Car{color='#982ecc', vin='JN1AZ4EH7AM814384', company='Honda', model='del Sol', model_year='1993', price=38137.21}, localization=Localization[country='Poland', city='Kramsk'], date=2020-09-14}
Purchase{id=49, person=Person{imie='Bjorn', nazwisko='Fawthrop', email='bfawthrop1c@boston.com', ip='170.135.22.129'}, car=Car{color='#ecfcdb', vin='1FAHP3EN6BW566772', company='Ford', model='Edge', model_year='2010', price=23688.13}, localization=Localization[country='Czech Republic', city='Plasy'], date=2020-12-07}
Purchase{id=50, person=Person{imie='Sollie', nazwisko='Palatino', email='spalatino1d@linkedin.com', ip='37.149.119.171'}, car=Car{color='#a8deac', vin='5GAEV23D39J957670', company='Mercedes-Benz', model='SLS AMG', model_year='2012', price=6369.83}, localization=Localization[country='Czech Republic', city='Znojmo'], date=2020-10-03}
Purchase{id=51, person=Person{imie='Nessi', nazwisko='Tripony', email='ntripony1e@yellowbook.com', ip='214.74.7.152'}, car=Car{color='#53c426', vin='1YVHZ8BA6A5767573', company='Chevrolet', model='Impala', model_year='2012', price=80557.94}, localization=Localization[country='Poland', city='Lubomierz'], date=2020-12-30}
Purchase{id=52, person=Person{imie='Garvey', nazwisko='Laval', email='glaval1f@aboutads.info', ip='121.166.111.198'}, car=Car{color='#e46be0', vin='WDDHH8JB4FB844541', company='Ford', model='F350', model_year='2007', price=29919.74}, localization=Localization[country='Poland', city='Trzciana'], date=2020-06-19}
Purchase{id=53, person=Person{imie='Ronica', nazwisko='Kirtland', email='rkirtland1g@smh.com.au', ip='85.255.41.175'}, car=Car{color='#362699', vin='WA1WMAFE7DD223278', company='BMW', model='1 Series', model_year='2010', price=59998.39}, localization=Localization[country='Poland', city='Pilchowice'], date=2020-06-26}
Purchase{id=54, person=Person{imie='Grant', nazwisko='Syrett', email='gsyrett1h@prlog.org', ip='119.89.29.184'}, car=Car{color='#8c163c', vin='WBADX1C5XCE850586', company='Acura', model='RL', model_year='2009', price=87273.74}, localization=Localization[country='Poland', city='Czerniewice'], date=2020-12-16}
Purchase{id=55, person=Person{imie='Carly', nazwisko='Vasnetsov', email='cvasnetsov1i@freewebs.com', ip='103.247.181.255'}, car=Car{color='#67ddc5', vin='WAUSF98E38A270340', company='BMW', model='5 Series', model_year='2000', price=64328.89}, localization=Localization[country='Germany', city='Hamburg Sankt Pauli'], date=2020-03-26}
Purchase{id=56, person=Person{imie='Gerladina', nazwisko='Bonifas', email='gbonifas1j@nytimes.com', ip='86.232.119.84'}, car=Car{color='#41c993', vin='19XFB4F21FE114495', company='Dodge', model='Grand Caravan', model_year='1995', price=28993.93}, localization=Localization[country='Czech Republic', city='Mikulovice'], date=2020-01-27}
Purchase{id=57, person=Person{imie='Lexie', nazwisko='Quesne', email='lquesne1k@huffingtonpost.com', ip='170.229.138.252'}, car=Car{color='#0b6ac2', vin='3D73M3CL8AG088050', company='Ford', model='Escape', model_year='2011', price=84054.37}, localization=Localization[country='Germany', city='München'], date=2020-02-02}
Purchase{id=58, person=Person{imie='Binky', nazwisko='Hendrickson', email='bhendrickson1l@flickr.com', ip='89.4.101.35'}, car=Car{color='#fc75a3', vin='SAJWA4EB8EL899450', company='Mazda', model='CX-7', model_year='2010', price=74018.72}, localization=Localization[country='Poland', city='Płońsk'], date=2020-02-02}
Purchase{id=59, person=Person{imie='Julieta', nazwisko='Havock', email='jhavock1m@sohu.com', ip='104.226.28.113'}, car=Car{color='#24f4f5', vin='WBSDX9C54BE066526', company='Mercedes-Benz', model='SL-Class', model_year='1984', price=42147.27}, localization=Localization[country='Poland', city='Sanok'], date=2020-03-24}
Purchase{id=60, person=Person{imie='Ryan', nazwisko='Drane', email='rdrane1n@ucla.edu', ip='113.128.203.179'}, car=Car{color='#6354b6', vin='WBA5M6C5XED138968', company='Cadillac', model='CTS', model_year='2011', price=25636.62}, localization=Localization[country='Poland', city='Szydłowo'], date=2020-05-26}
Purchase{id=61, person=Person{imie='Emelina', nazwisko='Quilter', email='equilter1o@cisco.com', ip='225.139.20.128'}, car=Car{color='#8b5783', vin='1N6AA0EK9FN039447', company='Dodge', model='Dakota Club', model_year='2002', price=15054.17}, localization=Localization[country='Czech Republic', city='Strančice'], date=2020-05-05}
Purchase{id=62, person=Person{imie='Dorey', nazwisko='Ayce', email='dayce1p@oakley.com', ip='237.66.116.77'}, car=Car{color='#99b43e', vin='1N4AB7AP3DN745763', company='Volvo', model='XC90', model_year='2003', price=45536.60}, localization=Localization[country='Czech Republic', city='Jaroměř'], date=2020-02-01}
Purchase{id=63, person=Person{imie='Elinor', nazwisko='Walicki', email='ewalicki1q@myspace.com', ip='4.80.205.89'}, car=Car{color='#d38c8b', vin='WP0AA2A81FK247865', company='Ford', model='E-Series', model_year='1990', price=36141.09}, localization=Localization[country='Poland', city='Kłomnice'], date=2020-08-17}
Purchase{id=64, person=Person{imie='Roseline', nazwisko='Francescuccio', email='rfrancescuccio1r@economist.com', ip='252.22.214.206'}, car=Car{color='#fe13d7', vin='SCBCR73W99C041320', company='Toyota', model='T100', model_year='1996', price=56891.24}, localization=Localization[country='Poland', city='Ręczno'], date=2020-02-29}
Purchase{id=65, person=Person{imie='Phoebe', nazwisko='Hartford', email='phartford1s@unc.edu', ip='112.201.154.129'}, car=Car{color='#8c0d54', vin='2HNYD2H28CH766206', company='Pontiac', model='Sunbird', model_year='1986', price=45933.12}, localization=Localization[country='Czech Republic', city='Mohelnice'], date=2020-12-18}
Purchase{id=66, person=Person{imie='Clementius', nazwisko='Naerup', email='cnaerup1t@tuttocitta.it', ip='233.103.63.102'}, car=Car{color='#75bf79', vin='1GYS4JEF2DR071261', company='Mitsubishi', model='3000GT', model_year='1995', price=69929.29}, localization=Localization[country='Czech Republic', city='Krásná Lípa'], date=2020-01-28}
Purchase{id=67, person=Person{imie='Ranique', nazwisko='Casazza', email='rcasazza1u@ameblo.jp', ip='191.69.144.190'}, car=Car{color='#647116', vin='19UUA9F26AA748437', company='Jeep', model='Compass', model_year='2011', price=92254.93}, localization=Localization[country='Germany', city='Berlin'], date=2020-11-30}
Purchase{id=68, person=Person{imie='Orsa', nazwisko='Wilfling', email='owilfling1v@diigo.com', ip='53.136.57.107'}, car=Car{color='#0a2fad', vin='1D4RD4GG5BC716516', company='Buick', model='LeSabre', model_year='1985', price=7542.19}, localization=Localization[country='Czech Republic', city='Orlová'], date=2020-05-15}
Purchase{id=69, person=Person{imie='Arley', nazwisko='Blouet', email='ablouet1w@npr.org', ip='98.161.76.178'}, car=Car{color='#7a8ce0', vin='WBAEU334X4P114527', company='Mercedes-Benz', model='E-Class', model_year='1995', price=64393.66}, localization=Localization[country='Poland', city='Wojnicz'], date=2020-01-03}
Purchase{id=70, person=Person{imie='Linn', nazwisko='Louche', email='llouche1x@harvard.edu', ip='241.31.139.134'}, car=Car{color='#b56ebc', vin='1B3CB2HA2AD242557', company='Cadillac', model='CTS-V', model_year='2009', price=33447.26}, localization=Localization[country='Poland', city='Miejska Górka'], date=2020-02-22}
Purchase{id=71, person=Person{imie='Kip', nazwisko='Hedau', email='khedau1y@ox.ac.uk', ip='196.39.29.38'}, car=Car{color='#4a10fb', vin='3GYFNDE3XDS893826', company='Honda', model='CR-V', model_year='2000', price=16599.00}, localization=Localization[country='Czech Republic', city='Měřín'], date=2020-04-29}
Purchase{id=72, person=Person{imie='Maurits', nazwisko='Dymock', email='mdymock1z@about.com', ip='35.247.231.46'}, car=Car{color='#d6cb92', vin='JTEBC3EH3C2729369', company='Corbin', model='Sparrow', model_year='2004', price=73545.83}, localization=Localization[country='Denmark', city='København'], date=2020-05-29}
Purchase{id=73, person=Person{imie='Shaylyn', nazwisko='Jupe', email='sjupe20@yellowbook.com', ip='218.135.112.193'}, car=Car{color='#9e9218', vin='WAUKF98E57A836352', company='Subaru', model='Forester', model_year='2012', price=72205.00}, localization=Localization[country='Poland', city='Żurowa'], date=2020-05-29}
Purchase{id=74, person=Person{imie='Fair', nazwisko='Boyse', email='fboyse21@photobucket.com', ip='184.23.190.208'}, car=Car{color='#f743f6', vin='WDDEJ7EBXEA482795', company='Honda', model='Element', model_year='2011', price=76710.10}, localization=Localization[country='Poland', city='Józefosław'], date=2020-04-10}
Purchase{id=75, person=Person{imie='Harland', nazwisko='Cobello', email='hcobello22@ted.com', ip='240.61.35.39'}, car=Car{color='#acf056', vin='YV440MBK4F1358967', company='BMW', model='X5', model_year='2000', price=48845.79}, localization=Localization[country='Poland', city='Rokitno'], date=2020-03-09}
Purchase{id=76, person=Person{imie='Ben', nazwisko='Yarwood', email='byarwood23@creativecommons.org', ip='118.169.87.59'}, car=Car{color='#ff6af6', vin='WBA6B4C59DD511334', company='Nissan', model='300ZX', model_year='1991', price=12845.04}, localization=Localization[country='Poland', city='Borzęcin'], date=2020-10-02}
Purchase{id=77, person=Person{imie='Addison', nazwisko='Kleinstub', email='akleinstub24@prnewswire.com', ip='97.50.102.136'}, car=Car{color='#530864', vin='WAUJT54B53N474177', company='Panoz', model='Esperante', model_year='2005', price=53455.19}, localization=Localization[country='Czech Republic', city='Psáry'], date=2020-08-28}
Purchase{id=78, person=Person{imie='Albie', nazwisko='Fleischer', email='afleischer25@1688.com', ip='219.54.5.86'}, car=Car{color='#2019ca', vin='4A4AP3AU8DE558800', company='Subaru', model='Legacy', model_year='2005', price=84470.36}, localization=Localization[country='Czech Republic', city='Veltruby'], date=2020-01-11}
Purchase{id=79, person=Person{imie='Krystyna', nazwisko='Ricardet', email='kricardet26@t.co', ip='39.45.161.206'}, car=Car{color='#9ba311', vin='3D7LT2ET7AG992093', company='BMW', model='5 Series', model_year='1997', price=28961.60}, localization=Localization[country='Czech Republic', city='Chrást'], date=2020-05-06}
Purchase{id=80, person=Person{imie='Chariot', nazwisko='Kops', email='ckops27@mapquest.com', ip='126.25.65.87'}, car=Car{color='#93601f', vin='WBAFR1C55BC272071', company='Mitsubishi', model='Montero', model_year='2001', price=19694.43}, localization=Localization[country='Poland', city='Ścinawa'], date=2020-06-06}
Purchase{id=81, person=Person{imie='Marietta', nazwisko='Matusovsky', email='mmatusovsky28@wp.com', ip='227.57.182.131'}, car=Car{color='#5e5ac3', vin='1G6AK5SX1E0004400', company='Volvo', model='V50', model_year='2006', price=95214.12}, localization=Localization[country='Poland', city='Lubień Kujawski'], date=2020-10-13}
Purchase{id=82, person=Person{imie='Carlina', nazwisko='Sharma', email='csharma29@wsj.com', ip='22.97.208.15'}, car=Car{color='#744ef6', vin='WAUJT68EX2A966932', company='Nissan', model='Altima', model_year='2003', price=36066.50}, localization=Localization[country='Poland', city='Łapanów'], date=2020-02-16}
Purchase{id=83, person=Person{imie='Alethea', nazwisko='Greensted', email='agreensted2a@blogspot.com', ip='207.120.225.241'}, car=Car{color='#42b5c5', vin='WA1CYBFE6AD346143', company='Chrysler', model='Concorde', model_year='2001', price=37644.77}, localization=Localization[country='Poland', city='Łysomice'], date=2020-08-31}
Purchase{id=84, person=Person{imie='Erich', nazwisko='Cuniam', email='ecuniam2b@home.pl', ip='40.1.115.216'}, car=Car{color='#b82390', vin='JN8AZ2NC7D9278912', company='GMC', model='Jimmy', model_year='1995', price=64474.61}, localization=Localization[country='Germany', city='Mainz'], date=2020-07-27}
Purchase{id=85, person=Person{imie='Cosmo', nazwisko='McOnie', email='cmconie2c@oracle.com', ip='155.69.105.106'}, car=Car{color='#9f9316', vin='JHMFB4F21CS468704', company='Mercedes-Benz', model='SL65 AMG', model_year='2006', price=12734.28}, localization=Localization[country='Czech Republic', city='Heřmanův Městec'], date=2020-10-25}
Purchase{id=86, person=Person{imie='Deane', nazwisko='Kmieciak', email='dkmieciak2d@purevolume.com', ip='84.176.85.159'}, car=Car{color='#f955cc', vin='WBAVB33576K499107', company='BMW', model='600', model_year='1957', price=72427.80}, localization=Localization[country='Poland', city='Szczerbice'], date=2020-01-19}
Purchase{id=87, person=Person{imie='Hephzibah', nazwisko='Llorens', email='hllorens2e@nba.com', ip='153.32.83.243'}, car=Car{color='#4983ba', vin='19UUA65626A610940', company='Ford', model='Escape', model_year='2004', price=24614.31}, localization=Localization[country='Czech Republic', city='Ostravice'], date=2020-01-06}
Purchase{id=88, person=Person{imie='Waite', nazwisko='Barnfather', email='wbarnfather2f@1688.com', ip='25.134.227.114'}, car=Car{color='#bb13fb', vin='WBAKP9C54ED316479', company='Ford', model='Mustang', model_year='1992', price=75613.97}, localization=Localization[country='Czech Republic', city='Klobuky'], date=2020-10-13}
Purchase{id=89, person=Person{imie='Keri', nazwisko='Klauer', email='kklauer2g@latimes.com', ip='184.106.28.242'}, car=Car{color='#dba836', vin='3D73M4CL8AG318966', company='Honda', model='Prelude', model_year='1984', price=99807.80}, localization=Localization[country='Poland', city='Czerwionka-Leszczyny'], date=2020-03-13}
